name;id;"employees (lower bound)";"employees (upper bound)";employee_date;revenue;"datascouts score";social_score;traction_score;business_size_score;seo_score;median_load_time;median_load_time_percentile;incoming_links_count;alexa_rank;alexa_rank_change;reach_alexa_rank_change;reach_per_million;reach_per_million_change_percentile;page_views_per_user;page_views_per_user_change_percentile;page_views_per_million;page_views_per_million_change_percentile;page_views_alexa_rank;page_views_alexa_rank_change;alexa_date;rank;top_rank;domain_rating;backlinks_count;referring_domains_count;referring_ips_count;referring_class_c_count;referring_pages_count;ahrefs_date;checkins_count;likes_count;talking_about_count;facebook_date;listed_count;tweet_count;favourites_count;twitter_date
Zendesk;26096;2080;2080;2017-11-28;267648342.15;124;143;122;108;132;3007;22;11211;336;-3;2;1,930;-0.1;4.87;0.6;223.7;0.6;304;-10;2017-12-01;37;179;79;30148;1306;1249;1110;29160;2017-12-01;84;74202;2328;2017-12-05;;41308;7701;2017-12-05
Act;26097;6700;6700;2017-01-12;;88;127;61;98;91;1478;60;583;69415;1761;-1075;10.4;-0.36;3.53;-17.91;0.87;-17.91;66552;8878;2017-12-01;18;60190;59;2775;330;330;285;1620;2017-12-01;0;18165;20;2017-12-05;;12186;347;2017-12-05
Archie;26098;15;15;2017-11-28;;47;73;0;65;81;;;27;3478516;-1975338;-1492432;0.07;60;3;60;0;60;3314503;-2840025;2017-12-01;8;1747798;48;73;26;30;30;57;2017-12-01;;;;;;1768;1;2017-12-05
Autotask;26099;540;540;2017-11-28;;85;129;48;99;98;2778;25;302;175939;18390;16763;4.3;-14.17;1.6;-0.602;0.17;-0.602;250083;24878;2017-12-01;15;51138;60;305;110;114;107;278;2017-12-01;261;14768;67;2017-12-05;;8642;1257;2017-12-05
"Base CRM";26100;235;235;2017-11-28;;81;123;52;86;92;1517;58;213;109291;18648;16903;7.5;-21.14;1.8;-2.2;0.32;-2.2;151091;25988;2017-12-01;57;69331;59;275644;1276;1254;1114;240498;2017-12-01;103;4431;18;2017-12-05;;9015;769;2017-12-05
Basecamp;26101;110;110;2017-11-28;;109;139;109;85;115;2231;36;1706;1229;92;104;539;-7.849;5.61;-0.883;72.02;-0.883;924;45;2017-12-01;87;3496;69;644411;29341;21386;13906;298030;2017-12-01;0;12383;49;2017-12-05;;65009;613;2017-12-05
BaseNet;26102;30;30;2017-11-28;;60;69;38;73;75;741;88;49;374844;-48422;-69185;0.99;20;11;-5.456;0.26;-5.456;176983;-15748;2017-12-01;17;212096;55;97;14;16;16;67;2017-12-01;;;;;;286;2;2017-12-05
Billage;26103;10;10;2017-11-28;;68;121;49;63;69;1921;44;76;217053;50042;38692;2.7;-21.49;3.1;-31.03;0.2;-31.03;220448;82437;2017-12-01;22;1393537;49;70;24;25;25;70;2017-12-01;3;1648;16;2017-12-05;;3940;4576;2017-12-05
"Bitrix 24";26104;15;15;2017-11-28;;95;122;90;70;112;1864;46;464;8530;44;-55;91.4;-2.05;5.67;-3.08;12.3;-3.08;6199;271;2017-12-01;42;4142;68;6120;349;271;238;2870;2017-12-01;0;8251;159;2017-12-05;;5155;866;2017-12-05
Bouwsoft;26105;10;10;2017-11-28;;44;44;0;63;86;;;9;8429695;-318562;1090154;0.02;-20;2;100;0;100;8627661;-2597027;2017-12-01;28;2513407;47;285;83;67;65;237;2017-12-01;3;952;40;2017-12-05;;;;
CoManage;26107;5;5;2017-11-28;;51;66;40;59;50;657;89;8;386959;-60608;-46121;0.92;9;13;40;0.29;40;164021;-72605;2017-12-03;10;17548739;39;4;3;3;3;4;2017-12-03;;;;;;132;13;2017-12-05
Evoliz;26109;;;;;58;103;56;25;67;1221;69;169;158617;5873;8659;3.2;-6.973;6.9;4;0.53;4;100542;756;2017-12-01;10;1754854;48;49;19;20;20;49;2017-12-01;0;73;2;2017-12-05;;824;2;2017-12-05
"Exact Online";26110;2190;2190;2017-11-28;241309773.6;100;126;76;108;112;1058;76;315;76713;-9921;-7236;10;9;2.5;10;0.62;10;89370;-17134;2017-12-01;17;21121;63;402;65;73;71;341;2017-12-01;1010;30929;298;2017-12-05;;3379;863;2017-12-05
FattureInCloud;26111;5;5;2017-11-28;;60;13;80;59;60;831;85;42;21083;-2383;-3247;30.6;10;11;2;8.03;2;9458;-1262;2017-12-01;18;469148;53;60;22;22;22;43;2017-12-01;;;;;;;;
Freshdesk;26115;990;990;2017-11-28;;113;134;105;97;127;2875;24;5969;1881;33;-50;382;-0.29;5.12;-11.11;46.51;-11.11;1519;163;2017-12-01;81;855;73;728907;6064;3197;2549;259643;2017-12-01;0;70416;135;2017-12-05;;8970;1331;2017-12-05
Harvest;26116;59;59;2017-11-28;;98;136;94;81;100;1140;73;953;26235;2283;1784;39.3;-9.75;1.81;-2.69;1.69;-2.69;38265;3322;2017-12-01;52;17648;63;5140;651;670;608;2644;2017-12-01;126;42070;25;2017-12-05;;25280;4562;2017-12-05
Highrise;26117;5;5;2017-11-28;;76;78;76;59;92;1718;51;737;22066;2418;2928;30.1;-12.23;9.51;-4.13;6.82;-4.13;11030;1461;2017-12-01;82;29715;61;35923;3711;3431;2805;17830;2017-12-01;;;;;;1268;190;2017-12-05
Hubspot;26118;2271;2271;2017-11-28;232449040.95;125;158;119;107;134;1741;50;31741;546;-13;-1;1,091;0.8;7.47;3.5;194.1;3.5;343;-29;2017-12-01;81;327;77;37389;2961;2550;2029;19231;2017-12-01;7094;1542096;9121;2017-12-05;;75629;26128;2017-12-05
"Ines CRM";26119;45;45;2017-11-28;;62;108;27;80;67;669;91;38;897047;486108;480481;0.47;-60.965;2.6;-22.52;0.03;-22.52;952694;555235;2017-12-01;10;2194874;47;1434;62;65;64;876;2017-12-01;1;130;33;2017-12-05;;5550;521;2017-12-05
Insightly;26120;150;150;2017-11-28;;94;129;86;86;94;1328;65;400;35655;-624;2236;24.4;-8.705;2.72;33;1.58;33;40529;-8185;2017-12-01;29;26269;62;2642;445;448;401;2228;2017-12-01;78;35104;62;2017-12-05;;8299;1190;2017-12-05
Julitec;26121;;;;;45;91;12;25;83;811;82;14;1614134;-36338;311727;0.18;-21.43;5.6;100;0.02;100;1116037;-693680;2017-12-01;14;1334787;49;28;7;8;8;28;2017-12-01;2;231;2;2017-12-05;;136;6;2017-12-05
Moneybird;26123;15;15;2017-11-28;;63;83;47;65;73;529;94;114;209899;21137;14765;2.8;-9.511;3.3;-16.96;0.22;-16.96;206374;39003;2017-12-01;15;258109;54;167;53;57;56;149;2017-12-01;;;;;;5329;573;2017-12-05
Odoo;26124;356;356;2017-11-28;;104;131;88;96;118;2450;30;2763;10305;285;306;74.2;-4.49;5.88;-3.13;10.4;-3.13;7347;477;2017-12-03;27;4716;68;1889351;378;374;351;1869446;2017-12-03;0;35795;210;2017-12-05;;3619;550;2017-12-05
